0,4
1,0
2,3
3,3
4,4
5,4
6,1
7,4
8,4
9,3
10,3
11,3
12,1
13,4
14,3
15,4
16,1
17,4
18,1
19,1
20,1
21,4
22,1
23,3
24,4
25,1
26,4
27,3
28,4
29,1
30,1
31,0
32,1
33,3
34,1
35,1
36,4
37,1
38,3
39,4
40,1
41,1
42,4
43,1
44,4
45,4
46,4
47,4
48,1
49,1
50,4
51,4
52,4
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,4
61,1
62,1
63,1
64,0
65,1
66,4
67,1
68,4
69,1
70,4
71,1
72,1
73,3
74,4
75,4
76,4
77,1
78,1
79,4
80,4
81,1
82,1
83,4
84,4
85,4
86,4
87,0
88,4
89,1
90,1
91,4
92,1
93,4
94,1
95,1
96,1
97,1
98,1
99,1
100,4
101,3
102,1
103,1
104,4
105,1
106,1
107,4
108,1
109,4
110,1
111,4
112,4
113,1
114,1
115,4
116,4
117,4
118,4
119,1
120,1
121,3
122,4
123,1
124,0
125,4
126,1
127,1
128,4
129,4
130,1
131,1
132,1
133,4
134,4
135,1
136,1
137,1
138,1
139,4
140,1
141,1
142,4
143,4
144,1
145,1
146,4
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,4
156,3
157,1
158,1
159,1
160,4
161,1
162,1
163,1
164,3
165,1
166,4
167,1
168,1
169,1
170,1
171,1
172,3
173,4
174,4
175,4
176,1
177,4
178,1
179,1
180,1
181,4
182,3
183,1
184,1
185,4
186,4
187,1
188,1
189,1
190,1
191,3
192,4
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,4
201,4
202,3
203,4
204,1
205,1
206,1
207,4
208,4
209,4
210,3
211,1
212,4
213,4
214,1
215,3
216,3
217,4
218,4
219,1
220,4
221,4
222,1
223,1
224,1
225,1
226,3
227,1
228,1
229,1
230,1
231,1
232,0
233,3
234,4
235,1
236,1
237,3
238,1
239,1
240,4
241,4
242,1
243,4
244,4
245,1
246,1
247,4
248,1
249,4
250,1
251,1
252,1
253,1
254,1
255,1
256,4
257,4
258,1
259,1
260,4
261,4
262,1
263,1
264,3
265,4
266,1
267,4
268,1
269,4
270,1
271,1
